Timestamp,CPU_Load_%,CPU_Idle_%,Total_RAM_MB,Used_RAM_MB,Free_RAM_MB,Heap_Frag_%,Disk_Total_GB,Disk_Used_GB,Disk_Free_GB,ISR_Count,SD_Writes,SD_IO_Time_ms
 ,SYSTEM,SYSTEM,SYSTEM,SYSTEM,SYSTEM,SYSTEM,SYSTEM,SYSTEM,SYSTEM,SYSTEM,SYSTEM,SYSTEM
 ,SYS,SYS,SYS,SYS,SYS,SYS,SYS,SYS,SYS,SYS,SYS,SYS
2025-05-14 13:29:04.938,5.1,34.0,8052.328125,1641.6875,6092.71875,4.86,28.776119232177734,6.286960601806641,21.00812530517578,552398095,1283811,56582751
2025-05-14 13:29:05.157,0.0,40.0,8052.328125,1641.671875,6092.71875,4.86,28.776119232177734,6.286964416503906,21.008121490478516,552398343,1283811,56582751
2025-05-14 13:29:05.375,0.0,39.0,8052.328125,1641.671875,6093.125,4.86,28.776119232177734,6.2869720458984375,21.008113861083984,552398586,1283811,56582751
2025-05-14 13:29:05.592,0.0,40.0,8052.328125,1641.671875,6093.125,4.86,28.776119232177734,6.2869720458984375,21.008113861083984,552398826,1283811,56582751
2025-05-14 13:29:05.810,10.0,39.0,8052.328125,1643.078125,6091.71875,4.86,28.776119232177734,6.2869720458984375,21.008113861083984,552399138,1283811,56582751
2025-05-14 13:29:06.028,0.0,40.0,8052.328125,1643.078125,6091.71875,4.86,28.776119232177734,6.2869720458984375,21.008113861083984,552399357,1283811,56582751
2025-05-14 13:29:06.245,0.0,40.0,8052.328125,1643.0625,6091.734375,4.86,28.776119232177734,6.286975860595703,21.00811004638672,552399568,1283811,56582751
2025-05-14 13:29:06.463,0.0,40.0,8052.328125,1643.0625,6091.75,4.86,28.776119232177734,6.286975860595703,21.00811004638672,552399773,1283811,56582751
2025-05-14 13:29:06.680,0.0,39.0,8052.328125,1643.0625,6091.75,4.86,28.776119232177734,6.286975860595703,21.00811004638672,552399981,1283811,56582751
2025-05-14 13:29:06.897,0.0,39.0,8052.328125,1641.90625,6092.90625,4.86,28.776119232177734,6.286975860595703,21.00811004638672,552400286,1283811,56582751
2025-05-14 13:29:07.115,0.0,40.0,8052.328125,1641.90625,6092.90625,4.86,28.776119232177734,6.286975860595703,21.00811004638672,552400478,1283811,56582751
2025-05-14 13:29:07.332,0.0,40.0,8052.328125,1641.1875,6093.625,4.86,28.776119232177734,6.286983489990234,21.008102416992188,552400719,1283811,56582751
